cytoband	2q31.2	9p21.3	2p11.1	1p35.2	1q31.1	20q11.1	10q11.21	14q32.33	16p12.3	19q13.2	18q21.2	1q21.1	17p11.2	16p11.2	Yq11.221	17p13.1	17q24.2	Xp22.33	6p25.1	7q36.3	22q11.22	4q35.2	6q25.3	19q13.42	7q34	12q21.31	22q13.33	16q11.2	15q14	6q11.1	12p13.33	1q44	2p23.1	9q21.31	
																		ZMAT1	DDAH2										UBE2Q2P2			SLC16A1	CAPN10	IPPK	
																		RHOXF2	HEBP2										JMJD7			SNRPE	TBC1D8	DDX31	
																		TMEM185A	ORC3										PLA2G4B			SOAT1	RABL2A	FAM129B	
																		SLITRK2	CD2AP										ADPGK-AS1			UAP1	GALNT5	LRRC19	
																		GPR174	BRD7P3										LOXL1-AS1			SPRR1A	NXPH2	MRPL41	
																		SLC9A7	MTCH1										MIR1276			SPRR1B	GPR45	NOL6	
																		BEX2	ZNF318										MIR1272			SPRR2A	SP140	WNK2	
																		MIR503HG	SPDEF										MIR1266			SPRR2B	MGAT4A	SECISBP2	
																		SLC7A3	MTO1										MIR1282			SPRR2C	GPN1	C9orf16	
																		TCEAL3	ASF1A										NDUFAF4P1			SPRR2D	IKZF2	MAPKAP1	
																		CCNB3	YIPF3										MIR2116			SPRR2E	COBLL1	DCAF10	
																		PPP1R3F	USP49										LOC100419583			SPRR2F	AAK1	ZCCHC6	
																		CCDC120	CCDC28A										LOC100422556			SPRR2G	FASTKD2	GALNT12	
																		TSR2	MTHFD1L										MIR4311			SPRR3	MAPRE3	EHMT1	
																		HS6ST2	PNISR										MIR4312			SPTA1	PLA2R1	MOB3B	
																		FRMD7	IBTK										MIR4310			SRM	RAB3GAP1	CAAP1	
																		KLHL13	MOXD1										MIR4313			SRP9	RPIA	CNTNAP3	
																		TGIF2LX	IPCEF1										MIR3713			TROVE2	SLC4A1AP	ERMP1	
																		FAM104B	ZNF451										INAFM2			SSR2	EFR3B	SVEP1	
																		PAGE5	SENP6										SNHG21			AURKAPS1	SNRNP200	RMI1	
																		TCEAL8	OR2B6										RAD51-AS1			STXBP3	MYT1L	TRPM3	
																		CHRDL1	TIAM2										UBE2Q2L			XCL2	WDR43	PTGES2	
																		CXorf40A	FBXL4										IQCH-AS1			SYCP1	LPIN1	IFT74	
																		RIPPLY1	FAM50B										LINC00933			TAF12	CEP68	FAM214B	
																		LINC01278	FBXO9										DPH6-AS1			TAF13	PASK	GKAP1	
																		ATXN3L	FBXO5										ST20-MTHFS			TAL1	UBXN4	PDCD1LG2	
																		SLC38A5	SLC17A5										SERF2-C15ORF63			TARBP1	ATG4B	AKNA	
																		MMGT1	OR12D2										DYX1C1-CCPG1			CNTN2	PSME4	MIR600HG	
																		ACRC	OR11A1										MIR4512			TBCE	EXOC6B	URM1	
																		SYAP1	RGS17										MIR4514			TBX15	EHBP1	ISCA1	
																		SYTL4	OR2W1										MIR4513			TCEA3	SATB2	DOCK8	
																		SYTL5	OR2J2										MIR4510			TCEB3	CLASP1	ARPC5L	
																		GPRASP2	OR2H1										MIR4716			VPS72	OBSL1	HDHD3	
																		ATG4A	SNORD52										MIR4713			TGFB2	PUM2	AIF1L	
																		DACH2	SNORD50A										MIR4511			LEFTY2	NCAPH	UCK1	
																		SLITRK4	SNORD48										MIR4712			TGFBR3	RHOQ	ZNF484	
																		SPANXN3	PDE7B										MIR4515			THBS3	SF3B1	FSD1L	
																		MAGEC3	FILIP1										MYZAP			TCHH	HAAO	CEP78	
																		BEND2	BRPF3										MIR5572			TIE1	TMEM131	ZCCHC7	
																		DCAF12L1	GNMT										MIR548AP			TLR5	R3HDM1	ANKRD20A1	
																		DGKK	TNFRSF21										LINC01314			GPR137B	DNPEP	GARNL3	
																		MAP2K4P1	SESN1										RORA-AS2			TNFRSF1B	PSD4	HSDL2	
																		PIH1D3	TINAG										NPTN-IT1			TNNI1	WBP1	C9orf64	
																		MUM1L1	OSTM1										LOC101928227			TNNT2	NTSR2	CARD19	
																		FAM199X	MRPS18B										EHD4-AS1			TNR	TMEFF2	MFSD14C	
																		AMER1	TMEM14A										PLA2G4E-AS1			TOP1P1	SH3BP4	TMEM246	
																		APOOL	MRPL18										LOC101928414			TP53BP2	PRKD3	NTNG2	
																		HDX	NDUFAF4										LINC01491			TP73	KCNE4	MFSD14B	
																		FUNDC1	C6orf15										PIGBOS1			TPM3	RASGRP3	HINT2	
																		ADGRG4	MYLIP										LINC01413			TPR	NGEF	C9orf24	
																		PTCHD1	ABT1										LIPC-AS1			TRAF5	QPCT	PIGO	
																		PPP4R3CP	DSE										LOC101928725			CCT3	GCA	PRRC2B	
																		MAGEB10	PRICKLE4										RORA-AS1			TSHB	VAX2	PLPP7	
																		DCAF8L1	PACSIN1										LOC101928907			TSNAX	SNORD82	GLIS3-AS1	
																		VENTXP1	ZNRD1										LOC101928988			TTC4	MOB4	ZDHHC12	
																		OTUD6A	CLDN20										LOC101929076			TUFT1	POLR1A	MIGA2	
																		UPRT	NOX3										LOC101929151			TNFSF4	CNRIP1	ARHGEF39	
																		MAGEE2	DEF6										THSD4-AS2			TNFRSF4	FAM98A	C9orf3	
																		MAGEB16	C6orf48										THSD4-AS1			UCK2	PNKD	FIBCD1	
																		FOXR2	SLC35B3										C15orf59-AS1			UQCRH	UNC50	CCDC183	
																		ACTRT1	HDDC2										LOC101929439			UROD	SNED1	SNHG7	
																		GPR119	GMNN										LOC101929457			USF1	GORASP2	TMEM141	
																		PAGE3	MRPL2										LINGO1-AS2			USP1	SPATS2L	ARRDC1-AS1	
																		RBMXL3	TFB1M										LOC101929586			USH2A	RAB11FIP5	COL27A1	
																		DOCK11	CYB5R4										TMC3-AS1			VCAM1	GIGYF2	ALG2	
																		SPIN4	TUBE1										LOC101929679			WNT2B	EPC2	FGD3	
																		ASB11	C6orf203										LINC01583			WNT9A	TRAF3IP1	MVB12B	
																		ASB9	TBC1D7										LINC01584			ZSCAN20	ABCA12	TPD52L3	
																		TCEAL2	NRN1										RNU6-7			ZNF124	IFT172	WDR34	
																		PABPC5	CYP39A1										MIR6085			ZBTB17	ARL5A	SAPCD2	
																		RAB40A	CDC40										MIR6881			SLC30A1	HIBCH	C9orf69	
																		ASB12	RWDD1										MIR6882			SLC30A2	PTPN18	LRSAM1	
																		AMOT	AIG1										MIR7706			LUZP1	CNNM4	IL33	
																		ZNF645	NOL7										MIR7973-2			PRDM2	CNNM3	TMEM261	
																		FMR1NB	SNX9										MIR8067			DNALI1	IL36RN	MSANTD3	
																		USP27X-AS1	FAM8A1										MIR7973-1			LRP8	SH3YL1	UAP1L1	
																		FAAH2	UBE2J1										MIR8063			LAPTM5	SNORD53	SLC25A51	
																		ZXDB	DCDC2										LINC01169			BSND	SNORD51	MRRF	
																		LINC00889	ETV7										LOC102723344			CSDE1	RNU6-1	RBM18	
																		FAM47A	TMEM14C										LOC102723481			EVI5	CNPPD1	ARRDC1	
																		MOSPD2	VTA1										LOC102723493			DAP3	STK36	DPH7	
																		ARHGAP36	LGSN										LOC102723640			NPHS2	IL36B	ADAMTSL1	
																		RIBC1	TDP2										LOC102724034			BTG2	IL37	LINC00950	
																		AKAP14	CUTA										LOC102724452			PTP4A2	IL36A	TMEM203	
																		RHOXF1	PPIL1										LOC103171574			ARID1A	SULT1C4	KIF12	
																		NKAPP1	HECA										RNU6-2			HIST3H3	NFU1	PALM2	
																		MAGEB6	RAB23										PCAT29			CDC7	ERLEC1	SLC25A25	
																		CXorf65	COQ3										SALRNA3			HIST2H2AA3	MMADHC	WDR31	
																		AWAT1	CLIC5										SALRNA2			HIST2H2AC	BMP10	ZNF618	
																		AWAT2	IL20RA										LOC105370792			HIST2H2BE	ZNF638	UHRF2	
																		ZDHHC15	TREM2										LOC105370802			HIST2H4A	STK39	FAM122A	
																		USP51	TREM1										LOC105370829			PIP5K1A	HTRA2	ZMYND19	
																		TCEAL6	HCG4										LOC105370888			TAGLN2	EML4	GRIN3A	
																		H2BFWT	GFOD1										LOC105370941			BCAR3	TRIB2	TMC1	
																		CXorf38	HMGCLL1										LOC105370943			ANXA9	CPS1-IT1	RNF183	
																		FAM122B	MTRF1L										LOC105370954			SNHG3	METTL5	NACC2	
																		FAM122C	CCHCR1										LOC105376731			NR0B2	LGALSL	C9orf116	
																		DDX53	GTPBP2										BUB1B-PAK6			RAD54L	OLA1	CARNMT1	
																		FAM46D	BTN2A3P													GNPAT	C2orf27A	C9orf57	
																		SPIN3	AHI1													DYRK3	GRHL1	C9orf85	
																		FAM47B	UHRF1BP1													TTF2	TFCP2L1	C9orf135	
																		SUPT20HL2	ELOVL2													CDC42BPA	ICOS	LCN8	
																		TCEANC	CDKAL1													RGS5	GMPPA	FAM69B	
																		ZCCHC12	PAK1IP1													PPFIA4	NRBP1	PTRH1	
																		ARX	RMND1													PIK3R3	BAZ2B	PIP5KL1	
																		XAGE3	PHIP													MMP23B	SLC40A1	TAF1L	
																		XAGE5	SOBP													MMP23A	KCNIP3	PTPDC1	
																		NUDT10	AKIRIN2													KCNAB2	EHD3	ANKRD19P	
																		FAM9A	CENPQ													ITGA10	SMARCAL1	ARID3C	
																		FAM9B	MRPS18A													LMO4	CD207	RPP25L	
																		FAM9C	MRPS10													FCN3	ITSN2	C9orf131	
																		CT83	LRRC1													BLZF1	ANO7	OR13C5	
																		LINC01560	QRSL1													CDC14A	ARHGEF4	OR13C8	
																		SLC25A43	VNN3													DEGS1	PDE11A	OR13C3	
																		FAM226A	TMEM63B													KMO	TPRKB	OR13C4	
																		ZCCHC5	DDX43													YARS	FAHD2A	OR13F1	
																		NRK	FAM46A													MKNK1	PRLH	OR1L8	
																		INTS6L	CARMIL1													AKR7A2	WDPCP	OR1N2	
																		ZNF449	TBC1D22B													PLPP3	MEMO1	OR1N1	
																		TMEM31	TMEM30A													RTCA	THAP4	DBH-AS1	
																		PAGE2	EXOC2													PTCH2	TRAPPC12	ASB6	
																		DHRSX	SAYSD1													ALDH4A1	ASB3	TRPM6	
																		BRWD3	LMBRD1													EIF3I	INSIG2	SLC34A3	
																		CXorf58	TRERF1													EIF4G3	CRIM1	RNF38	
																		CT47A11	ACOT13													VAMP4	ANKRD39	GLIPR2	
																		CXorf23	ECHDC1													PEA15	FAM178B	DAB2IP	
																		MAP7D2	APOM													B4GALT3	RNF181	CAMSAP1	
																		KLHL34	BTNL2													B4GALT2	MRPL30	C9orf62	
																		TAB3	KCNQ5													B3GALT2	DNAJC27	C9orf66	
																		SSX6	TRIM39													TNFRSF25	ANKMY1	LINC00032	
																		SSX7	AGPAT4													ADAM15	KRCC1	LINGO2	
																		SSX8	WRNIP1													PABPC4	MRPL35	NXNL2	
																		SSX9	DUSP22													TNFRSF14	ATRAID	C9orf163	
																		RAB40AL	TULP4													TNFRSF18	PCYOX1	MAMDC4	
																		LINC00685	RARS2													FPGT	GULP1	LCN6	
																		ATP11C	HYMAI													PEX11B	REV1	AK8	
																		LINC00632	PDSS2													CREG1	NAT8B	OR1Q1	
																		NLRP2B	GOPC													CD84	SCLY	TTLL11	
																		H2BFM	LYRM4													PER3	VPS54	RASEF	
																		LOC286437	SMIM8													FUBP1	NBAS	TTC39B	
																		LINC01281	VARS2													EIF2B3	LIPT1	FAM201A	
																		YIPF6	ADGRG6													BCL10	NOP58	TRMT10B	
																		CFAP47	ARFGEF3													RAB29	DYNC2LI1	TTC16	
																		FIRRE	NHSL1													SELENBP1	SF3B6	MIRLET7DHG	
																		UBE2E4P	LYRM2													TNFSF18	YPEL5	FAM120AOS	
																		TTC3P1	SNX14													TAF1A	CHMP3	SAXO1	
																		FAM133A	MRS2													MPZL1	FKBP7	LINC00475	
																		MAGEB18	PLEKHG1													SH2D2A	ASB1	FREM1	
																		TMSB15B	ARID1B													ARTN	CPSF3	KIAA2026	
																		P2RY8	LRFN2													MAP3K6	CAB39	LINC00961	
																		RGAG4	AARS2													ANGPTL1	ZAK	ATP8B5P	
																		NHSL2	XPO5													DIRAS3	BCL11A	ZNF483	
																		PABPC1L2A	SERINC1													TBX19	LRP1B	C9orf84	
																		KIAA2022	HACE1													FCGR2C	PRKAG3	KIAA1958	
																		BEX5	FAM135A													SLC16A4	PPIL3	TSTD2	
																		TCEAL5	TMEM181													PRPF3	SNTG2	ZNF782	
																		MORF4L2-AS1	ZBTB2													KCNQ4	DNAJC10	LOC158434	
																		VSIG1	BEND3													EXO1	ATAD2B	LOC158435	
																		ZC3H12B	KIAA1586													ARHGEF2	ETAA1	PRUNE2	
																		SATL1	CPNE5													DEDD	HEATR5B	STKLD1	
																		DCAF12L2	LSM2													ZMYM4	CCDC93	KCNV2	
																		LOC340581	C6orf47													ZMYM6	ASNSD1	OLFML2A	
																		CA5BP1	LY6G5B													XPR1	UGT1A10	TMEM252	
																		ZCCHC16	ABRACL													FCMR	UGT1A8	QSOX2	
																		LHFPL1	RRAGD													DHRS3	UGT1A7	GLIS3	
																		CXorf67	LY6G6D													MAPKAPK2	UGT1A6	ZNF883	
																		ZNF81	ENPP5													GPR37L1	UGT1A5	ZNF169	
																		ITIH6	PRDM13													GPR52	UGT1A9	AAED1	
																		LANCL3	PBOV1													SRSF11	UGT1A4	ZNF367	
																		MPC1L	BACH2													VAMP3	UGT1A1	TMEM268	
																		DCAF8L2	ELOVL5													ZFYVE9	UGT1A3	C9orf72	
																		SOWAHD	TRMT11													CD101	FEV	CCDC171	
																		OR13H1	SMAP1													SEP15	AFTPH	NAIF1	
																		CCDC160	ZFAND3													ZRANB2	MFSD6	FAM219A	
																		CXorf66	SLC22A23													SNRNP40	TMEM214	CCDC107	
																		DGAT2L6	LINC01590													ARHGAP29	RETSAT	ANKS6	
																		RAB41	BLOC1S5													AIM2	INO80D	SUSD3	
																		ARSH	MCUR1													GGPS1	SEMA4C	CBWD5	
																		MAGEB5	GPSM3													RASAL2	SLC35F6	CDC26	
																		TLR8-AS1	FKBPL													THEMIS2	C2orf42	PSMD5-AS1	
																		MAP3K15	KIF13A													ADAMTS4	TRMT61B	ANKRD18A	
																		SPACA5	PERP													TMEM59	PID1	PHYHD1	
																		USP27X	POPDC3													SEC22B	PTCD3	MORN5	
																		CENPVL1	ZSCAN31													CHD1L	PLEKHB2	OR1L4	
																		PAGE2B	ALDH8A1													H6PD	ATG16L1	TXNDC8	
																		ZCCHC13	C6orf106													SOX13	FANCL	HMCN2	
																		LOC389895	MICAL1													PRDX6	SRBD1	MAMDC2	
																		UBE2NL	MRPL14													CLCA3P	FIGN	FRMD3	
																		LOC389906	DLK2													CLCA2	ANKZF1	C9orf43	
																		LOC392452	LY6G6E													ISG15	RIF1	FAM205A	
																		CXXC1P1	ULBP3													IKBKE	USP40	LINC00094	
																		GLOD5	OR2A4													PLCH2	MOB1A	CRB2	
																		FLJ44635	ARMT1													HS2ST1	STEAP3	SCAI	
																		ARL13A	OGFRL1													PDE4DIP	ASXL2	CFAP157	
																		SMIM10L2A	FAM184A													IPO13	ADI1	C9orf47	
																		CD99P1	ZDHHC14													SDC3	THNSL2	SPATA31E1	
																		LOC401585	ZNF322													SLC25A44	ACOXL	LOC286238	
																		ZNF674-AS1	MANEA													KIAA0040	WDR33	LCN12	
																		SLC25A53	ADGB													KDM4A	HJURP	C9orf142	
																		LINC00890	TREML2													CROCC	STRADB	TPRN	
																		XKRX	RPP21													PUM1	NDUFAF7	LOC286297	
																		YY2	LINC00472													NOS1AP	HES6	TUSC1	
																		MIRLET7F2	ATAT1													TMEM63A	ASIC4	FAM225A	
																		MIR106A	AGPAT4-IT1													CEP104	CNOT11	FAM78A	
																		MIR188	LCAL1													RIMS3	NAGK	LURAP1L	
																		MIR19B2	CCDC170													TOMM20	DOCK10	LOC286359	
																		MIR221	MYCT1													EFCAB14	TTC27	OR13C9	
																		MIR222	ZKSCAN3													URB2	SMPD4	OR13D1	
																		MIR223	ULBP2													ARHGEF11	TMEM127	MIR4290HG	
																		MIR92A2	ULBP1													DNAJC6	PRPF40A	FOXD4L3	
																		MIR98	ZSCAN16													CEP350	SLC30A6	IFNE	
																		VCX3B	LPAL2													CEP170	IWS1	ZDHHC21	
																		FTH1P18	RNF39													LRIG2	LIMS2	ACER2	
																		LINC00891	SLC44A4													SETDB1	KANSL3	GAS2L1P2	
																		RPS26P11	VWA7													ZC3H11A	MREG	LOC340512	
																		GLRA4	C6orf25													SMG7	CCDC88A	LINC01501	
																		FAM127C	LY6G6C													PLPPR4	WDR12	SPATA31D5P	
																		CT45A3	LY6G5C													UBAP2L	MBD5	QRFP	
																		CT45A5	PRR3													SV2A	KDM3A	OR1J1	
																		SPANXN4	KHDC1													KLHL21	ALLC	OR1B1	
																		PGAM4	ZNRD1ASP													SLC35E2	PECR	KIF24	
																		FAM47C	PRRT1													DENND4B	ARHGAP15	IGFBPL1	
																		UQCRBP1	EGFL8													RABGAP1L	ZC3H15	MURC	
																		XRCC6P5	HCG4B													TMCC2	CFC1	FOXD4L4	
																		MIR325	GPR63													FAM20B	DNAH7	GLT6D1	
																		MIR374A	TXNDC5													ZBTB40	GKN1	ENHO	
																		SPIN2B	COL21A1													LPGAT1	IL36G	AQP7P1	
																		SPANXN1	C6orf62													MFN2	RPRM	PTAR1	
																		SPANXN2	OR5V1													KIF14	CYP26B1	ERCC6L2	
																		SPANXN5	OR2B2													RBM8A	POLE4	SWI5	
																		MIR361	PPP1R14C													THRAP3	KCNK12	C9orf50	
																		MIR384	OR12D3													NR1I3	UGGT1	PNPLA7	
																		MIR424	SPACA1													AKT3	KCMF1	CYSRT1	
																		CT45A6	RNF146													INSL5	DPYSL5	ENTPD8	
																		CT45A1	TMEM14B													PIGK	PNO1	FGF7P6	
																		CXorf40B	SF3B5													SCAMP3	STARD7	LOC389705	
																		SSX4B	TAAR8													PTPRU	C2orf83	FAM205BP	
																		LINC01420	SH3BGRL2													ARPC5	MFF	SPATA31A6	
																		JPX	RIOK1													TSPAN2	RPL23AP32	GLIDR	
																		MIR448	TFAP2D													TSPAN1	ACKR3	SPATA31D4	
																		MIR450A1	KCNK16													CELA3A	RNPEPL1	SPATA31D3	
																		MIR362	RSPH3													PDZK1IP1	RTN4	SPATA31D1	
																		MIR363	DTNBP1													WASF2	TRIM54	LOC389765	
																		MIR20B	ARMC2													PATJ	PELI1	C9orf153	
																		MIR18B	FBXO30													PRG4	SLC39A10	PTGES2-AS1	
																		MIR500A	RPF2													ANGPTL7	TTC7A	IER5L	
																		MIR501	UQCC2													GPA33	PPP4R3B	CFAP77	
																		MIR502	L3MBTL3													STX6	SLC4A10	LCN15	
																		MIR450A2	MCHR2													HNRNPR	CYP20A1	C9orf172	
																		MIR503	PGBD1													SRRM1	SPC25	LRRC26	
																		MIR504	FAXC													CNKSR1	BIRC6	TMEM8C	
																		MIR505	FNDC1													SF3B4	ERMN	FAM221B	
																		MIR513A1	TTBK1													ZMPSTE24	KIDINS220	OR13J1	
																		MIR513A2	GJA10													UBE4B	MTA3	CTSL3P	
																		MIR506	RTN4IP1													BCAS2	HECW2	LOC392364	
																		MIR507	ADTRP													AKR1A1	WDR35	OR13C2	
																		MIR508	RSPO3													WARS2	MARCH4	OR1L6	
																		MIR509-1	LRP11													BPNT1	WDFY1	OR5C1	
																		MIR510	LTV1													CEPT1	NYAP2	OR1K1	
																		MIR514A1	SERAC1													PIAS3	DPP10	LCN9	
																		MIR514A2	USP45													TESK2	RDH14	FAM102A	
																		MIR514A3	REPS1													TIMM17A	EPB41L5	CCDC187	
																		SPANXA2-OT1	HIST1H2AH													LRRN2	ALS2	VLDLR-AS1	
																		ZNF674	HIST1H2BK													PPIE	ZDBF2	FLJ41200	
																		DANT2	PPIL4													VAV3	USP37	HACD4	
																		CT47B1	PAQR8													HAX1	CWC22	LINC01242	
																		BRDTP1	SLC22A16													MAD2L2	ANKRD36B	TMEM215	
																		ZCCHC18	RRP36													PPIH	G6PC2	TOMM5	
																		SMIM10	LINC01621													ZBTB18	SLC4A5	FAM74A1	
																		SMIM10L2B	KCNK17													C1orf61	CTDSP1	FAM74A4	
																		GAGE2B	ABCC10													CAP1	NLRC4	ZNF658B	
																		GAGE13	TRIM15													LRRC41	MPP4	C9orf170	
																		GAGE12G	KLC4													SEMA6C	SLC5A7	CENPP	
																		LOC645188	UBE3D													LAMTOR5	NIF3L1	C9orf152	
																		MAGEB17	MLIP													SLC19A2	AGBL5	SNX30	
																		PABPC1L2B	MFSD4B													IFI44	LDAH	WDR38	
																		NAP1L6	TJAP1													POLR3C	THADA	LOC401554	
																		XAGE1B	ARHGAP18													IVNS1ABP	PCGEM1	LOC401557	
																		CT47A7	POM121L2													TXNIP	RBKS	LINC01451	
																		MIR545	SYTL3													PDPN	GAL3ST2	LCNL1	
																		MIR542	FOXQ1													LEFTY1	TMBIM1	C9orf139	
																		SCARNA23	GTF3C6													SPHAR	IFIH1	FAM166A	
																		SNORA11	MRAP2													PMVK	OSGEPL1	SOHLH1	
																		SNORA35	RWDD2A													KHDRBS1	ATL2	PLPP6	
																		SNORD96B	IL17F													GMEB1	ABCG5	LOC403323	
																		MIR421	MTFR2													FAM189B	ABCG8	ZBTB34	
																		MIR532	EFHC1													AP4B1	RAB17	MIRLET7A1	
																		MIR651	BTBD9													NUDC	RNF25	MIRLET7D	
																		MIR652	KLHL32													PHTF1	HS1BP3	MIRLET7F1	
																		MIR660	TMEM200A													MASP2	GMCL1	MIR101-2	
																		LINC01545	ZBED9													CAPN9	TTC31	MIR126	
																		SSX2B	MB21D1													NES	ANAPC1	MIR147A	
																		FAM156B	FOXP4													KDM5B	COPS7B	MIR181A2	
																		CT47A10	KLHDC3													AHCYL1	RMND5A	MIR181B2	
																		CT47A8	NUS1													SRSF10	FNDC4	MIR199B	
																		CT47A6	GINM1													SDCCAG8	MARCH7	MIR204	
																		CT47A5	SLC26A8													CFHR4	NABP1	MIR219A2	
																		CT47A4	IL22RA2													CFHR3	PAPOLG	MIR23B	
																		CT47A3	MAS1L													WDR3	MRPS9	MIR24-1	
																		CT47A2	SLC18B1													OCLM	MRPS5	MIR27B	
																		CT47A1	SLC16A10													JTB	REEP1	MIR31	
																		MAGED4	IP6K3													MTMR11	RAPH1	MIR32	
																		MAGEA9B	TAGAP													MAN1A2	CDK15	MIR7-1	
																		SPANXB1	RN7SK													UTS2	TMEM237	COL5A1-AS1	
																		CT45A2	TAF8													SF3A3	NBEAL1	C9orf106	
																		SPACA5B	ADAT2													MLLT11	CFLAR-AS1	LINC00587	
																		GAGE12J	RIPPLY2													IFI44L	MRPL44	IDNK	
																		GAGE2D	IRAK1BP1													EBNA1BP2	SOWAHC	LCN10	
																		GAGE12C	CLVS2													SLC27A3	PLEKHA3	CNTFR-AS1	
																		GAGE12B	TAAR9													KIF2C	TRAK2	LOC440173	
																		GAGE12E	TAAR1													IL24	BOLL	LOC440896	
																		GAGE2A	STXBP5													TDRKH	COLEC11	LINC01239	
																		LOC729609	NCOA7													RER1	PDCL3	SUGT1P1	
																		LINC00106	HINT3													DNAJB4	TRPM8	ANKRD20A3	
																		H2BFXP	PACRG													ADAM30	ATG9A	ANKRD20A2	
																		MIR766	B3GAT2													RCAN3	C2orf49	AQP7P3	
																		GAGE12F	SDHAF4													FAF1	MLPH	SPATA31C1	
																		GS1-600G8.3	CD109													CD160	TMEM185B	LOC441454	
																		GAGE8	RAET1E													GLMN	FAM134A	LOC441455	
																		SNORA11C	PM20D2													HHLA3	CENPO	NUTM2G	
																		SNORA11D	SRSF12													CELF3	OR7E91P	ANKRD18B	
																		FMR1-AS1	C6orf141													MST1P2	GLB1L	STX17-AS1	
																		MIR509-2	HUS1B													DDX20	C2orf47	STPG3	
																		MIR450B	TRIM40													DUSP10	SPAG16	NRARP	
																		MIR890	DPCR1													MST1L	CHPF	PTGER4P2-CDK2AP2P2	
																		MIR891B	NRSN1													PADI2	SAP130	FOXB2	
																		MIR888	LOC153910													PMF1	GALNT14	CBWD3	
																		MIR892B	ZC2HC1B													DUSP12	SCRN3	C9orf129	
																		MIR374B	SNRNP48													VPS45	CCDC121	PALM2-AKAP2	
																		MIR934	CNKSR3													LYPLA2	FASTKD1	PAPPA-AS1	
																		MIR509-3	RAET1L													PARK7	SMC6	LOC494127	
																		MIR891A	SAMD3													CTRC	GTDC1	C9orf135-AS1	
																		MIR892A	LINC01312													ACOT7	CLIP4	DNAJC25	
																		LOC100126447	SLC2A12													COG2	IQCA1	DNAJC25-GNG10	
																		LINC00892	LINC01010													CLCA4	CARF	MIR31HG	
																		CXorf51A	MBOAT1													MTF2	TTC21B	LOC554249	
																		LOC100129291	HDGFL1													DNAJC8	CAMKMT	PGM5-AS1	
																		LINC00684	PNLDC1													NTNG1	METTL8	MIR491	
																		LINC01546	RNF217													PLEKHA6	GEMIN6	PGM5P2	
																		LINC00633	NKAIN2													CLSTN1	NHEJ1	MIR455	
																		TEX13C	KHDC3L													FOXJ3	FAM124B	NRON	
																		FGF13-AS1	CFAP206													KIAA0907	TM4SF20	FRG1JP	
																		HSFX2	LINC01600													WDR47	CYBRD1	LOC642929	
																		SUPT20HL1	BVES-AS1													KIFAP3	C2orf54	LOC642943	
																		CXorf49	CCDC167													ATF6	NOL10	FAM163B	
																		PRR32	PRSS35													SCMH1	ANKRD53	EHMT1-IT1	
																		LINC00893	LCA5													AKR7A3	CSRNP3	TUBBP5	
																		ARMCX4	OLIG3													TTC39A	PGAP1	RNF224	
																		UBE2DNL	TXLNB													SPEN	LRRTM4	LINC01189	
																		PHKA2-AS1	C6orf118													KDM1A	DCAF17	CNTNAP3P2	
																		LOC100132304	PSORS1C1													RBM34	TUBA4B	CBWD6	
																		GAGE12D	PSORS1C2													USP33	MZT2B	FLJ43315	
																		XGY2	PPP1R18													WDTC1	MAP3K19	FAM138A	
																		LOC100132831	PTCRA													KIF21B	UXS1	SPATA31C2	
																		LINC01203	OSTCP1													NMNAT2	FBXO11	HRCT1	
																		UXT-AS1	TCTE1													EMC1	ARMC9	SPATA31A1	
																		SCARNA9L	KHDRBS2													KIF1B	COQ10B	LRRC37A5P	
																		LINC00894	TRIM39-RPP21													NFASC	SLC35F5	RPSAP9	
																		LOC100287728	TUBB													POGZ	EFHD1	FOXD4L6	
																		LINC00630	C6orf163													COLGALT2	WDCP	FOXD4L5	
																		CLDN34	PIP5K1P1													MAST2	SPHKAP	FGF7P3	
																		MIR513C	CCDC162P													NCDN	WNT10A	FAM138C	
																		MIR1468	AK9													CLCC1	SLC19A3	SCARNA8	
																		MIR1912	NT5DC1													SLC35D1	TSGA10	SNORA17A	
																		MIR1298	FAM26D													RGL1	THSD7B	SNORA17B	
																		MIR320D2	ZUFSP													PLEKHM2	THUMPD2	MSMP	
																		MIR1321	FAM162B													SYT11	TMEM177	SNORD90	
																		MIR548I4	TBC1D32													PRRC2C	LNPK	MIR600	
																		MIR1277	BEND6													FBXO28	ILKAP	MIR601	
																		MIR1911	GSTA5													RPRD2	FAM49A	MIR602	
																		MIR548F5	OPN5													OTUD3	LMAN2L	RNF208	
																		MIR1264	ADGRF4													KAZN	LBH	SPATA31A3	
																		FTX	ADGRF5													CAMTA1	TMEM163	SPATA31A5	
																		SLC25A5-AS1	TDRD6													ADGRL2	ITM2C	DNLZ	
																		MIR548M	SPATS1													CAMSAP2	TCF7L1	FAM74A3	
																		MIR513B	C6orf223													KIAA1107	INO80B	CNTNAP3B	
																		MIR764	RSPH9													ZCCHC11	AMMECR1L	LOC728673	
																		MIR2114	LRRC73													SZT2	CDCA7	ANKRD20A4	
																		TRPC5OS	TREML5P													DNAJC16	WDR54	LOC730098	
																		LINC00102	ADCY10P1													UBR4	ZRANB3	FAM166B	
																		LOC100421746	OARD1													USP24	RAB6C	CDKN2B-AS1	
																		MIR514B	KIF6													SRGAP2	WDR75	SNORD121A	
																		MIR500B	TMEM217													SMG5	FAM161A	LINC00583	
